order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,freight_value,customer_zip_code_prefix,customer_state,seller_zip_code_prefix,seller_state,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_lat,customer_lng,seller_lat,seller_lng,delivery_delay,delay_days
2017-11-23 07:19:20,2017-12-19 18:44:36,2017-12-14 00:00:00,15.1,23970,RJ,5632,SP,livros_interesse_geral,200.0,35.0,6.0,24.0,-23.212886071407144,-44.70778007705104,-23.599535586507248,-46.73543637154784,1,5.0
2018-01-22 18:25:04,2018-01-30 14:09:33,2018-02-06 00:00:00,8.11,3530,SP,13483,SP,,300.0,16.0,2.0,11.0,-23.538807529737483,-46.52012161328807,-22.560755022881633,-47.44649444065285,0,-7.0
2018-03-06 02:22:18,2018-03-16 13:28:28,2018-04-20 00:00:00,40.99,88101,SC,37175,MG,ferramentas_jardim,5950.0,20.0,20.0,20.0,-27.595232430148474,-48.617592337593344,-20.940577532886604,-45.82723735222764,0,-35.0
2017-05-29 19:40:15,2017-06-05 15:16:40,2017-06-21 00:00:00,15.1,37466,MG,3542,SP,informatica_acessorios,375.0,17.0,11.0,14.0,-22.285425563590607,-44.86708746307188,-23.531039542235845,-46.51583258285471,0,-16.0
2017-06-11 18:18:07,2017-06-28 15:05:07,2017-07-17 00:00:00,32.94,68515,PA,17209,SP,esporte_lazer,2300.0,20.0,20.0,20.0,-6.074386550627748,-49.90637044692308,-22.27524896702239,-48.54358425082655,0,-19.0
2018-04-05 21:18:26,2018-04-10 19:12:04,2018-04-20 00:00:00,7.87,13276,SP,18110,SP,cama_mesa_banho,250.0,32.0,3.0,23.0,-22.979943849640843,-46.99537068151859,-23.543319623797903,-47.457380033116756,0,-10.0
2017-08-30 22:43:57,2017-09-08 20:09:37,2017-09-19 00:00:00,38.51,6710,SP,42738,BA,pcs,2600.0,16.0,31.0,39.0,-23.59848072217747,-46.83224194829915,-12.893166748087063,-38.33787462509412,0,-11.0
2018-07-17 22:29:15,2018-07-20 19:54:52,2018-07-25 00:00:00,9.18,4410,SP,18025,SP,bebes,383.0,22.0,14.0,17.0,-23.68023857052899,-46.648640105817044,-23.515612441573655,-47.44346053722513,0,-5.0
2018-08-15 10:31:34,2018-08-21 14:38:56,2018-08-23 00:00:00,9.31,2713,SP,8599,SP,malas_acessorios,950.0,42.0,22.0,26.0,-23.506631532596938,-46.684900537580276,-23.46535113147831,-46.33959705106873,0,-2.0
2018-03-13 08:53:47,2018-04-13 20:53:31,2018-04-02 00:00:00,18.23,28925,RJ,4782,SP,papelaria,317.0,22.0,14.0,22.0,-22.652414462523907,-42.00600609818576,-23.691013046281814,-46.70381010620763,1,11.0
2017-10-18 17:23:28,2017-10-24 17:13:48,2017-10-30 00:00:00,12.04,2814,SP,3426,SP,cool_stuff,1600.0,42.0,25.0,15.0,-23.457984065352566,-46.707876688236865,-23.552336441109286,-46.536868564238475,0,-6.0
2018-07-25 09:01:55,2018-08-08 15:42:14,2018-08-13 00:00:00,18.31,25230,RJ,13405,SP,beleza_saude,250.0,16.0,5.0,15.0,-22.689741624685315,-43.2826886930124,-22.708702100662567,-47.664700852471455,0,-5.0
2018-04-13 18:45:26,2018-04-18 19:14:24,2018-04-30 00:00:00,7.39,1551,SP,4160,SP,telefonia,350.0,17.0,4.0,12.0,-23.572737912267932,-46.61268007361107,-23.625475455621878,-46.61200044104113,0,-12.0
2018-04-09 20:14:31,2018-04-16 19:55:33,2018-05-02 00:00:00,18.51,26435,RJ,6764,SP,moveis_decoracao,2.0,11.0,11.0,52.0,-22.648997352455527,-43.65813095170957,-23.615830177735248,-46.76853282528388,0,-16.0
2017-12-02 00:01:21,2017-12-20 20:39:26,2018-01-02 00:00:00,45.72,13044,SP,37175,MG,ferramentas_jardim,7650.0,20.0,20.0,20.0,-22.942010639011677,-47.042321116234056,-20.940577532886604,-45.82723735222764,0,-13.0
2017-11-19 17:37:11,2017-11-29 18:09:04,2017-12-07 00:00:00,16.6,8830,SP,31573,MG,alimentos_bebidas,1100.0,16.0,15.0,15.0,-23.51562982228005,-46.1411121720396,-19.81095228066824,-43.98998650424639,0,-8.0
2017-12-12 16:52:40,2017-12-26 17:52:45,2018-01-10 00:00:00,15.69,28635,RJ,14940,SP,cama_mesa_banho,900.0,30.0,5.0,35.0,-22.237700639848438,-42.518754457064084,-21.75732063771276,-48.82974353343716,0,-15.0
2017-12-01 18:02:11,2017-12-09 14:16:57,2017-12-27 00:00:00,16.63,22061,RJ,91350,RS,cool_stuff,100.0,16.0,16.0,16.0,-22.975419252327107,-43.192633652194786,-30.015528344866176,-51.162708252374614,0,-18.0
2018-04-24 19:52:47,2018-05-05 14:38:30,2018-05-14 00:00:00,17.54,14820,SP,13690,SP,brinquedos,6500.0,60.0,20.0,40.0,-21.733215089379517,-48.1099398816381,-21.908634153727803,-47.6195840295051,0,-9.0
2018-04-19 15:03:51,2018-04-24 01:02:40,2018-05-08 00:00:00,22.28,11060,SP,4776,SP,ferramentas_jardim,10100.0,53.0,30.0,38.0,-23.962573924300305,-46.33409872636013,-23.68700759507919,-46.70240296312426,0,-14.0
2018-04-24 14:31:39,2018-05-04 18:56:50,2018-05-23 00:00:00,13.26,88506,SC,7135,SP,moveis_decoracao,800.0,20.0,11.0,14.0,-27.801377350845723,-50.33383119531146,-23.425555705618997,-46.525291558030176,0,-19.0
2018-08-07 18:18:47,2018-08-20 23:36:56,2018-09-20 00:00:00,22.61,45160,BA,14050,SP,eletronicos,347.0,18.0,12.0,13.0,-15.03719803840138,-41.26055350504629,-21.1728614527507,-47.82369973956137,0,-31.0
2017-03-31 15:41:39,2017-04-18 19:29:06,2017-05-09 00:00:00,26.13,39401,MG,8577,SP,moveis_escritorio,10075.0,55.0,64.0,26.0,-16.72463312407852,-43.87247844204142,-23.48611145466222,-46.36672076531711,0,-21.0
2018-03-15 08:51:49,2018-03-20 17:30:59,2018-03-27 00:00:00,8.29,27250,RJ,21340,RJ,beleza_saude,200.0,18.0,3.0,20.0,-22.50774953233488,-44.07183556436882,-22.871018134717982,-43.35684491471535,0,-7.0
2018-02-26 13:20:05,2018-03-06 20:55:46,2018-03-16 00:00:00,17.13,16400,SP,3426,SP,cool_stuff,2050.0,42.0,25.0,15.0,-21.67390697021273,-49.75805943683959,-23.552336441109286,-46.536868564238475,0,-10.0
2018-03-21 11:47:29,2018-04-04 16:21:01,2018-04-17 00:00:00,27.25,4331,SP,60741,CE,moveis_quarto,1450.0,50.0,8.0,40.0,-23.65774562321649,-46.64909760520888,-3.7899436621017473,-38.550588541500204,0,-13.0
2018-05-09 15:17:02,2018-05-15 20:57:30,2018-05-29 00:00:00,23.35,89050,SC,13456,SP,esporte_lazer,3775.0,35.0,30.0,30.0,-26.91200168589103,-49.058185062564036,-22.75709691277636,-47.37609423222235,0,-14.0
2018-03-02 16:53:54,2018-03-07 23:48:49,2018-03-14 00:00:00,13.25,13840,SP,9171,SP,ferramentas_jardim,2900.0,67.0,3.0,31.0,-22.366040649505827,-46.93816713358193,-23.700197687438838,-46.513128422189745,0,-7.0
2018-08-10 15:55:40,2018-08-17 16:04:40,2018-08-28 00:00:00,16.54,3659,SP,20051,RJ,automotivo,800.0,26.0,9.0,24.0,-23.52154004341396,-46.51139904429671,-22.903063100942575,-43.18298926875737,0,-11.0
2018-08-10 18:50:46,2018-08-30 17:41:32,2018-09-10 00:00:00,24.55,79620,MS,38440,MG,brinquedos,600.0,30.0,20.0,15.0,-20.79828120127153,-51.70497028084254,-18.652644433692657,-48.192235480006914,0,-11.0
2018-01-10 14:16:10,2018-01-19 10:16:08,2018-01-31 00:00:00,13.11,14640,SP,12233,SP,informatica_acessorios,207.0,19.0,11.0,14.0,-20.72828330325555,-48.05514852208202,-23.2466806873142,-45.88690913568322,0,-12.0
2018-06-22 23:18:46,2018-06-28 13:28:41,2018-07-17 00:00:00,18.3,26292,RJ,12940,SP,automotivo,50.0,17.0,10.0,15.0,-22.765111723156874,-43.559026201122336,-23.11473052430801,-46.55288053987791,0,-19.0
